职位	薪资	技能要求	工作地址	公司名	公司信息	发布时间	url	当前页数
iOS	18k-25k	"岗位描述：-负责易企秀iOS客户端相关产品的研发，产品架构的改进及性能优化-负责新技术的学习、研究和应用，熟悉行业热门框架原理-负责优化iOS客户端现有功能，提升客户端用户体验岗位要求：1、本科及以上学历，4年以上的iOS开发经验2、精通Object-c开发语言,熟悉swift开发语言，熟悉runtime机制3、有C/C++开发经验者优先4、有数据结构及算法基础功底，较强的编程和解决问题的能力，掌握常用的设计模式5、熟悉iOS平台体系结构，熟悉各种UI控件，能够实现复杂的界面交互6、熟练掌握iOS平台下的高性能编程及性能调优7、对计算机基础知识、网络通讯有较好的理解、熟悉HTTP，TCP/IP网络协议8、对移动互联网产品有浓厚的兴趣，有产品意识，注重用户体验；学习能力强，善于交流，有团队合作精神"	北京 海淀区 万柳	易企秀	互联网	发布于11月14日	/job_detail/08489cb785cd6a8e1X183dm4EVQ~.html	1
IOS开发工程师	9k-14k	IOS工程师任职要求1、国家统招、非民办本科及以上学历，学信网可查；2、ios两年及以上开发经验；3、熟悉iOS架构和原理，iOS界面开发规范、AppStore流程规则。4、有SDK经验者优先。2019年2月11日及以后可入职。有意向者欢迎年前沟通面试。	北京 朝阳区 朝阳门	新致软件	计算机软件	发布于02月22日	/job_detail/718719c95a9cb4101HV_2d2-E1A~.html	1
iOS	8k-13k	一、岗位职责1．负责iOS系统平台上的客户端软件的产品开发；2．完成软件系统分析、代码的实现及开发文档的编写；3．根据产品需求，完成架构和模块设计、编码工作；4．分析并解决软件开发/运营过程中的技术问题；5．能按照项目计划，按时提交高质量的代码，完成开发任务；6．关注科技动态，能及时吸收最新移动技术并应用到产品中。二、任职要求1.熟练使用Objective-C/C/C++语言，熟悉Objective-C运行时机制；2.熟悉iOS开发，了解iOS运行机制，线程，RunLoop，各iOSFramework的使用；3.熟悉HTTP、TCP/IP、UDP协议，能熟练Socket编程、音视频相关编程；4.熟练编写定制UI；5.熟悉WebView如何与NativeApp如何交互，并定制相关解决方案；6.熟悉各种第三方API，如银联，微博，微信，友盟，环信，短信等；7.具备设计APP框架及设计SDK的能力；8.能够分析APP性能，并对APP进行调优；我们是一个充满能量的团队，在这里可以尽情的发挥您的潜能，欢迎您的加盟！中方信富是一家面向国内和国际资本市场，从事资本市场投资咨询相关服务业务的全国性投资管理咨询公司。斗牛财经是由公司的一款软件。致力于为用户提供客观全面的服务，通过视频教学和文字直播，实现投资者和分析师的零距离互动。。	北京 朝阳区 三里屯	中方信富	互联网金融	发布于02月11日	/job_detail/b4e14ef909197e141nx63Ni8ElY~.html	1
iOS	6k-10k	熟悉IOS和安卓系统运维工作时间灵活非京员工可提供北京市工作居住证名额	北京 东城区 建国门	非常时代	音乐/视频/阅读	发布于08月12日	/job_detail/aeae09a3a4c855c41XB_3Nm1EFo~.html	1
iOS实习生	5k-8k	"iOS实习生职责要求：1.	负责iOS客户端的开发工作，确保开发质量；2.	对技术保持热情，能够跟进最新的iOS版本和技术；3.	完成领导安排的其他工作。任职资格：1、有良好的Objective-C基础，了解Swift并能主动学习Swift相关技术2、熟悉常用的Foundation和UIKit组件3、熟悉多线程的应用4、了解常用的设计模式，对MVC，MVVM，VIPER等架构模式有一定的了解5、有一定的英文文档阅读能力，具备良好的自学能力和独立思考的能力6、能定位错误、异常和bug，有独立解决问题的能力"	北京  	万门教育	在线教育	发布于02月28日	/job_detail/179e5b83c2e6b8ee1HF73920ElE~.html	1
IOS开发工程师	14k-20k	负责IOS应用程序的设计、开发工作；负责相应模块设计文档编写；持续的优化相关的产品的质量、性能、用户体验。	北京  	中金公司	互联网金融	发布于10:31	/job_detail/a48e54b4f4f55d441HF-2dm-Elc~.html	1
IOS	15k-17k	"外派：巨人教育【IOS开发工程师】1人任职要求：1、本科以上学历，计算机相关专业优先。2、精通Objective-C，CocoaTouch框架和APP各类主流框架和开发模式；3、精通OSX/IOS下的并行开发、网络、内存管理、GUI开发；4、熟悉html,js,Web开发经验的优先;5、拥有良好的设计模式和思维，熟悉面向对象编程，图形界面开发；6、良好的编程习惯,代码结构清晰,命名规范;7、两年以上IOS项目研发经验；具有跨平台/多终端开发经验，有Cocoa-2dx等游戏引擎项目经验者优先；有教育/游戏行业经验者优先。"	北京 海淀区 中关村	北京能科瑞元有限公司	互联网	发布于02月21日	/job_detail/87733bb781a288b91HB-2tu7EFE~.html	2
iOS	30k-50k	iOS开发工程师职位描述：1、负责公司移动产品的研发，编写高质量的代码；2、和产品经理配合，深度参与手机产品需求讨论，功能定义等；3、设计良好的代码结构，不断迭代重构；4、领导并带领初级工程师共同完成研发任务。职位要求：1、有强烈的求知欲和进取心；2、具有扎实的编程工底，良好的设计能力和编程习惯；3、至少精通一门编程语言，熟练掌握Objective-C，熟悉Swift的优先；4、一年以上iOS开发经验，能独立开发iPhoneApp者先。	北京 海淀区 双榆树	今日头条	移动互联网	发布于12月17日	/job_detail/f761a192628f55a31HV-3tu1EFU~.html	2
iOS	8k-15k	iOS岗位职责：1.负责IOS客户端产品的设计、开发和维护工作，高效高质量的完成产品的开发工作；2.配合产品的设计及UI设计人员完成移动端功能实现；3.解决项目中的技术难题，提升研发团队技术能力；4.根据项目的需求按要求完成相关应用系统的开发，按时完成上级交办的其他任务。任职要求：1.统招本科以上学历，计算机相关专业；2、1年以上iOS实际开发经验，精通Objective-C，熟悉Swift；3、了解MVVM＋ReactiveCocoa4、精通iOS的设计规范、UI界面的深度定制、复杂交互界面的开发技巧；5、熟悉iOS下网络通信机制，多线程处理，代理，单例，Runtime原理，block，性能优化，对内存优化有深刻理解；6、熟练掌握CocoaPods，SVN，以及第三方工具的使用方法；7、熟悉iOS开发规范以及AppStore上架流程和规则；8、有高质量的GitHub和个人博客优先。	北京 海淀区 五道口	步长制药	医疗健康	发布于13:49	/job_detail/cd9878faa562603a1XR_2d28E1c~.html	2
iOS	18k-26k	ios高级(5年左右经验)岗位职责：1.负责app部分架构模块优化改进，新技术研究。2.负责app三版中部分重要功能的开发3.根据产品需求开发相关的移动产品；4.验证和修正测试中发现的问题；【任职要求】：1.三年以上iOS客户端开发经验；2.对iOS的架构、性能优化、内存优化、动画有深刻理解；3.精通Objective-C和Swift，熟悉常用开源库；4.精通UIKit、APNs、Autolayout、多线程、ARC/MRC、网络通信；5.精通纯代码开发，熟练使用xib、storyboard6.有大型app项目开发经验者优先。	北京 朝阳区 望京	牛电科技	智能硬件	发布于02月22日	/job_detail/a466087c998c22dd1nB82t61FlM~.html	2
